Title,Notes,Tags,URL
USMEPCOM Regulation 601-4 Overview,"Issued October 25, 2023. Provides policy, procedures, and responsibilities for administering the DoD Student Testing Program (STP) and Career Exploration Program (CEP).",documentation,R-0601-004
Purpose of the Regulation,"Purpose is to guide implementation of STP and CEP including promotion, test administration, data management, and training of personnel.",documentation,R-0601-004
References and Abbreviations,Appendices A and D contain references and glossary of abbreviations used in the regulation.,documentation,R-0601-004
Roles and Responsibilities,"Outlines responsibilities of Commander, Directors, Chiefs, Education Services Specialists (ESS), Sector Commanders, Battalion Commanders, MEPS Commanders, Test Control Officers (TCO), Test Coordinators (TC), and Test Administrators (TA/ITA).",documentation,R-0601-004
DoD Student Testing Program (STP),"STP offers career planning and group assessment to high school and post-secondary students. Administered at no cost, provides recruiting services with prequalified leads.",documentation,R-0601-004
Scope of STP Administration,"Covers educating schools, coordinating scheduling, administering tests, providing PTI activities, data management, retention and deletion of records, and recommending SORN changes.",documentation,R-0601-004
STP Components (ASVAB and CEP),"ASVAB: multi-aptitude battery with verbal, math, science, and technical areas. CEP: integrates scores with career interests. Both components are designed for career counseling.",documentation,R-0601-004
ASVAB Career Exploration Program (CEP),"CEP helps students understand career options, align skills and interests with goals, and supports school transition requirements.",documentation,R-0601-004
Professional Management of CEP,"ESS must have education/counseling credentials. ESS manages CEP at MEPS, ensures professional development, coordinates training, and oversees test coordinators.",documentation,R-0601-004
Recruiting Services and STP,Recruiting services receive enlistment-valid scores for 11th–12th graders. 10th grade scores are invalid for enlistment. Schools are assigned to services via IRC agreements.,documentation,R-0601-004
Training Requirements for STP and CEP,"All involved personnel must be trained. Includes ESS orientation, TCO test security, TC scheduling and marketing, TA/ITA test administration, recruiter CEP training, and school staff training.",how to,R-0601-004
Scheduling Test Sessions,"Sessions are scheduled through school coordination, confirmed 5 days prior, and supported by recruiting services. Educational staff agreements can be voluntary or paid.",how to,R-0601-004
Recruiter Release Options,Schools decide release of scores to recruiters via 8 options. Option 8 is no release. School official must make the choice.,faq,R-0601-004
Option 7 – Invalid Test Results,"Option 7 applied when tests are invalid due to cheating, disruptions, errors, or security compromise. Invalid results cannot be used for enlistment but can be used for career exploration.",troubleshooting,R-0601-004
Split and Multi-room Sessions,Explains split session (two parts within 7 days) and multi-room testing (multiple rooms managed under one session with accountability).,how to,R-0601-004
Test Session Standardization,"Requirements for facilities, materials, proctor ratios, dress code, no recruiting activities, documentation of no-shows, and rules for breaks.",documentation,R-0601-004
Accommodations for Special Testing Needs,"Special accommodations available by school request (extra time, read aloud, large print, etc). Results coded Option 7. Sessions documented in official forms.",how to,R-0601-004
Non-School Hours and Facilities,Sessions only during school hours in educational facilities. Non-school sites require Sector approval. Testing in MEPS or military facilities prohibited.,how to,R-0601-004
Payment of Educational Staff Agreements,"Schools can provide proctors or assistant TAs voluntarily or for payment. Payments must follow UMF forms and financial procedures. Max $2,499 per session.",how to,R-0601-004
Single Site Testing (SST),For rural schools with small populations. Test materials mailed and administered by schools under agreements with MEPS oversight.,how to,R-0601-004
Test Control and Administration,"Outlines preparation, test material control, reporting TLC, quality checks, cheating protocols, breaks, cancellations, and dismissal procedures.",documentation,R-0601-004
Controlled Items and Test Security,"Designates test booklets, answer sheets, scratch paper as controlled items under UMR 611-1. Must be safeguarded and reported if compromised.",documentation,R-0601-004
Paper and Pencil Test Administration,"Procedures for paper test sessions. TA responsibilities for material distribution, proctor oversight, discipline, handling cheating, breaks, and test completion.",how to,R-0601-004
iCAT Test Administration,"Guidance on computer adaptive testing (iCAT) administration, verification, and mailing procedures.",how to,R-0601-004
Processing Test Session Results,"Details accountability for session results, management of session products, handling discrepancies, and school file maintenance.",documentation,R-0601-004
High School Records and Accountability,"High schools must maintain test records. Outlines session product management, result accountability, and exceptions for missing data.",documentation,R-0601-004
Electronic Transmittal of Results,Results transmitted electronically via CEP MIRS. Services receive reports based on recruiter release options.,how to,R-0601-004
Managing Data in CEP MIRS,"Covers adding, updating, assigning, or deleting school records in CEP MIRS. Provides criteria for eligible and ineligible schools.",documentation,R-0601-004
Maintaining and Updating School Records,Explains maintaining valid school lists and handling ineligible schools. Covers printing records and reporting reasons for not testing.,documentation,R-0601-004
Marketing the Career Exploration Program,"Covers outreach strategies, marketing plan requirements, school visits, COI events, educator conferences, and maintaining test integrity.",documentation,R-0601-004
Educational Outreach and Events,"Includes visits, state and local events, ESS participation in national conferences, and professional memberships. Requires coordination with recruiting services.",how to,R-0601-004
Media and Materials for Marketing,"Guidance for using media, producing materials, using prepaid postage, and restrictions on locally produced correspondence.",documentation,R-0601-004
Overseas Testing Program,"Covers testing overseas in DODEA schools and for dependents. Explains roles, obtaining forms, and coordination with MEPS.",documentation,R-0601-004
Internal Control Process and Checklist,Appendix B includes internal management control evaluation checklist to assess compliance with CEP policies.,documentation,R-0601-004
Fresno Armory Site Overview,"Procedures for Fresno Armory testing site at 5575 East Airways Blvd, Fresno, CA 93727.",documentation,Procedures for Fresno Armory 
Testing Schedule,"Testing conducted from 0900-1500 on Tuesday, Wednesday, and Thursday.",documentation,Procedures for Fresno Armory 
Pre-Test Preparation,"Print projection list, arrive by 0830, check pencils and scratch paper, prepare supplies.",how to,Procedures for Fresno Armory 
Starting Applicant Terminals,"Startup steps: enter BitLocker code (96541230) if prompted, or hit enter on grey login screen.",how to,Procedures for Fresno Armory 
Login to Windows and ASVAB Systems,"Click Start, open Windows Private Desktop, select ASVAB Testing for Military Applicants.",how to,Procedures for Fresno Armory 
ICAT Login Procedure,"Enter iCAT username, password, and test location ID (752601 or 752607). Do not use CAC login.",how to,Procedures for Fresno Armory 
TA Terminal Login,Log into the TA terminal same as other computers and open icat-ar-pki.dpac.mil in Edge.,how to,Procedures for Fresno Armory 
